VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range
1G1FY6S07L,Yakima,Yakima,WA,98908,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259
1G1RE6E43E,Yakima,Yakima,WA,98908,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38
7SAYGDEE3N,Yakima,Yakima,WA,98908,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
5YJ3E1EB6M,Yakima,Naches,WA,98937,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
5YJ3E1EAXJ,Island,Oak Harbor,WA,98277,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215
5UXKT0C31H,King,Issaquah,WA,98027,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14
1N4AZ1CP7J,Island,Oak Harbor,WA,98277,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151
WBY7Z8C52J,Island,Freeland,WA,98249,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97
1C4RJYB63P,Kitsap,Kingston,WA,98346,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25
WBY8P8C56K,King,Seattle,WA,98119,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126
1FTVW1EV2P,Thurston,Lacey,WA,98516,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
1N4AZ1CP8J,King,Burien,WA,98166,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151
1N4BZ0CPXH,Snohomish,Mill Creek,WA,98012,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107
WA1LAAGE5K,Snohomish,Bothell,WA,98012,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204
1N4BZ0CP1G,Snohomish,Mukilteo,WA,98275,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84
5YJ3E1EB4J,Snohomish,Lake Stevens,WA,98258,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215
3FMTK2SU3N,Thurston,Olympia,WA,98501,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
3C3CFFGE7F,Thurston,Olympia,WA,98512,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87
1N4AZ0CP4D,Yakima,Toppenish,WA,98948,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75
SADHC2S16L,Kitsap,Silverdale,WA,98383,2020,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234
1N4AZ0CP0F,Snohomish,Everett,WA,98203,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84
WBY7Z6C54J,Snohomish,Bothell,WA,98012,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114
5YJSA1S20F,Island,Langley,WA,98260,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208
5UXTA6C01P,Thurston,Olympia,WA,98503,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30
KM8K33AGXK,Thurston,Lacey,WA,98503,2019,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258
7JRBR0FL7N,Snohomish,Everett,WA,98201,2022,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22
JTDKARFP5L,Spokane,Spokane,WA,99202,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25
KNDC5DLE4P,Thurston,Tumwater,WA,98501,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
KNDCD3LD2J,Snohomish,Edmonds,WA,98020,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26
1G1RD6E4XE,Douglas,East Wenatchee,WA,98802,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38
5YJXCAE29L,Snohomish,Edmonds,WA,98026,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293
WBY1Z4C54E,Kitsap,Bremerton,WA,98311,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72
JTMAB3FV2R,Whitman,Pullman,WA,99163,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42
1G1RB6S53J,,,BC,,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53
LPSED3KA8N,Snohomish,Monroe,WA,98272,2022,POLESTAR,PS2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
WBY1Z4C57E,Snohomish,Monroe,WA,98272,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72
1G1FW6S05H,Columbia,Dayton,WA,99328,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238
WDC0G5EB8K,Snohomish,Lynnwood,WA,98087,2019,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,10
WBY1Z6C39H,Snohomish,Everett,WA,98201,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81
KNDC3DLC2N,Snohomish,Bothell,WA,98012,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
5YJ3E1EB5L,Snohomish,Monroe,WA,98272,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322
50EA1TEA5P,Snohomish,Bothell,WA,98021,2023,LUCID,AIR,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
WB523CF08R,Walla Walla,Walla Walla,WA,99362,2024,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
JTDKARFP7H,Thurston,Lacey,WA,98503,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25
3C3CFFGE5H,Snohomish,Bothell,WA,98012,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84
JM3KKBHAXR,Kittitas,Ronald,WA,98940,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26
5YJSA1E13G,Thurston,Olympia,WA,98513,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210
1N4AZ0CP4E,Skagit,Anacortes,WA,98221,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84
7SAYGDEE0P,Snohomish,Bothell,WA,98021,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
1N4AZ0CP5D,Thurston,Olympia,WA,98506,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75
5UX43EU07R,Douglas,East Wenatchee,WA,98802,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39
5YJ3E1EA9K,Snohomish,Bothell,WA,98012,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220
1C4JJXR64N,Walla Walla,Walla Walla,WA,99362,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22
JTDACACU8R,Snohomish,Everett,WA,98203,2024,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39
KNDCM3LD3J,King,Seattle,WA,98108,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26
1N4AZ0CP6D,Snohomish,Bothell,WA,98021,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75
5YJ3E1EA2J,Thurston,Olympia,WA,98503,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215
1N4AZ0CP0D,Snohomish,Edmonds,WA,98020,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75
KNDC4DLC1P,Spokane,Spokane,WA,99203,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
JTMAB3FV5N,Island,Freeland,WA,98249,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42
1C4RJXR61R,Douglas,East Wenatchee,WA,98802,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21
JN1AZ0CP2C,Grant,Moses Lake,WA,98837,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73
5UXTA6C0XN,Snohomish,Everett,WA,98203,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30
YV4H60DL0R,Island,Clinton,WA,98236,2024,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35
5YJSA1DN6D,Yakima,Yakima,WA,98903,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208
1C4RJYD60N,Walla Walla,Walla Walla,WA,99362,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25
5YJ3E1EA3K,Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220
5YJ3E1EB4L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322
5YJ3E1EB2J,King,North Bend,WA,98045,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215
5UXTA6C02P,King,Seattle,WA,98177,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30
5YJ3E1EB3J,King,Seattle,WA,98125,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215
WBA8E1C58J,King,Auburn,WA,98092,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14
WVGTMPE27M,Thurston,Olympia,WA,98501,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
